DATASET_NAME,title,text
COLLECTION,field_collection[und][0][value],text
BR_FTP_PATH,field_browse_file_path[und][0][value],text
BROWSE_AVAIL,field_browse_available_1[und][0][value],text
CONTACT,field_cont_met_name_person[und][0][value],text
COORD_SYSTEM,field_direct_spatial_reference_m[und][0][value],text
DATA_LOC,field_geographic_location[und][0][value],text
DISPLAY_DS_NAME,field_display_dataset_name_1[und][0][value],text
DP_DIR_PATH,field_dp_directory_path_1[und][0][value],text
DS_COMMENTS,field_abstract[und][0][value],text
DS_E_LON,field_east_boundary[und][0][value],text
DS_N_LAT,field_north_boundary[und][0][value],text
DS_S_LAT,field_south_boundary[und][0][value],text
DS_SHORT_NAME,field_dataset_short_name1[und][0][value],text
DS_START_DATE,field_dataset_start_date[und][0][value][date],date
DS_STOP_DATE,field_dataset_stop_date[und][0][value][date],date
DS_TYPE,field_dataset_type1[und][0][value],text
DS_W_LON,field_west_boundary[und][0][value],text
ECHOID,field_echo_id1[und][0][value],text
ENTERED,field_archive_date1[und][0][value][date],date
FORMAT,field_format1[und][0][value],text
GRANULE_SPATIAL_REPR,field_direct_spatial_reference_m[und][0][value],text
IMS_DATE,field_data_release_date[und][0][value][date],date
LAST_REVIEW_DATE,field_metadata_review_date[und][0][value][date],date
LOCATION,field_place_keywords1[und],text
PERIODIC_UPDATE,field_update_frequency1[und][0][value],text
PHONE,field_cont_met_phone[und][0][value],text
PROC_LEVEL,field_process_level1[und][0][value],text
RESTRICTED_COMMENTS,field_access_constraints1[und][0][value],text
SPATIAL_RESOLUTION,field_spatial_resolution1[und][0][value],text
SPONSOR,field_sponsor1[und][0][value],text
SUBSET_AVAIL,field_subset_available[und][0][value],text
TEMP_RESOLUTION,field_temporal_resolution[und][0][value],text
VERSION,field_version1[und][0][value],text
